name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Vandebilt Catholic H.S.,PSO,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45,30.2,31.55,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vandebilt Catholic H.S.,PSO,2014,3,3,1,75.45,30.2,31.55,13.7,0.0,75.45,30.2,31.55,13.7,0.0,82.5,32.8,36.3,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vandebilt Catholic H.S.,PSO,2014,5,2,2,78.975,31.5,33.925,13.55,0.0,82.5,32.8,36.3,13.4,0.0,81.4,32.8,33.1,15.5,0.0,7.05,2.6,4.75,-0.3,0.0,78.975,31.5,33.925,13.55,0.0
Vandebilt Catholic H.S.,PSO,2014,8,3,3,79.783,31.933,33.65,14.2,0.0,81.4,32.8,33.1,15.5,0.0,88.65,36.4,35.35,16.9,0.0,-1.1,0.0,-3.2,2.1,0.0,81.95,32.8,34.7,14.45,0.0
Vista Murrieta HS,PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,29.0,31.6,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vista Murrieta HS,PSO,2014,2,1,1,74.3,29.0,31.6,13.7,0.0,74.3,29.0,31.6,13.7,0.0,76.2,30.0,30.2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vista Murrieta HS,PSO,2014,5,3,2,75.25,29.5,30.9,14.85,0.0,76.2,30.0,30.2,16.0,0.0,78.4,31.4,31.0,16.0,0.0,1.9,1.0,-1.4,2.3,0.0,75.25,29.5,30.9,14.85,0.0
West Ranch HS,PSO,2014,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.95,30.6,29.35,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ranch HS,PSO,2014,6,1,1,73.95,30.6,29.35,14.0,0.0,73.95,30.6,29.35,14.0,0.0,83.05,33.4,31.55,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biloxi H.S.,PSA,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9,31.2,33.5,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
